Protein Class	Genes
Nucleic Acid Binding	BRCA1;RNASET2;TERT;MEIS2;FOXP2;OGG1;PRPF4;PRPF3;TBX1;ACTN4;ORC4;RAD21;RNASEH1;NOL3;FLNB;CDC45;EED;BANF1;SF3B1;SNRNP200;RAD51D;RNASEH2A;PRPF6;PARN;HERC2;ESRRB;DDX58;EGFR;ESR1;ANG;NR3C1;RB1;ERCC1;NR3C2;RPSA;MRPL3;PDGFRB;AR;NR2F1;KIT;THRB;FGFR1;TOP1;VDR;PCNA;HARS;SKI;PEPD;UNG;HOXB1;DARS;PDGFRA;PRKACA;ERCC2;LIG1;HNF1A;MAOA;TNFAIP3;XPA;RPL10;EPHA2;PKLR;HOXA13;FUS;HNF1B;KDR;MAP2K2;EIF4A3;IGHMBP2;RPS19;MLH1;STAT3;ETV6;STAT1;MTOR;MSH2;GATA4;ATRX;NOTCH1;RPS10;AARS;SARS;LIG4;MRE11;PPOX;BRCA2;HCFC1;MSH6;NKX2-5;POLG;BLM;PMS2;BRPF1;DLX5;MARS;MAX;RPS23;RPS29;SNRPE;RPS26;PRKDC;RELA;RBPJ;RAD51;PAX8;FMR1;EP300;SMARCB1;NR1H3;TARDBP;ERCC8;ATM;ORC1;XRCC4;HDAC1;WRN;EIF2B1;EFTUD2;ZMYND11;TAF13;LARP7;RNASEH2B;PRPF8;DARS2;BRAT1;GTF2H5;PHF6;MCPH1;TRMT10A;PNPT1;RNASEH2C;TSEN15;PRPF31;DDB2;CNOT9;CREBBP;EMG1;LHX4;EXOSC8;THAP11;EDC3;NSD1;PRIMPOL;MCEE;PARK7;TBX5;FOXC2;HDAC8;SETD2;IFIH1;TBL1XR1;FOXP3;AICDA;ALX4;FOXP1;PRDM12;STN1;MRPL44;NHEJ1;SEPSECS;CYLD;EXOSC3;DIABLO;THAP1;CHD7;DNMT3B;POLK;HESX1;MAD2L2;DDX41;KMT2B;SATB2;POLH;FAN1;YARS2;SBDS;DMRT1;NR2E3;DNMT3A;SUPT5H;DDX3X;FOXN1;AIRE;DLX3;PRKRA;PGR;HNRNPA1;PARP1;TCF3;CREB1;ERCC3;NR2F2;DNASE1;PAX6;APEX1;RXRB;PRKAR1B;HSPA1L;PPARG;FEN1;RECQL;CDX1;SMARCA2;MECP2;ADAR;HDAC4;RPS7;RPS15A;RPL11;GNAS;RBM10;FLI1;ROR2;MST1R;RNASEL;BTK;AIMP1;EXOSC2;DMC1;IRF3;GINS1;CHD4;SART3;SF3B4;CNGA3;HIST3H3;KMT5B;BOLA3;MRPL10;PALB2;SLX4;SYCP3;STAG2;CISD2;NLRP7;KAT6A;HOXB13;ACD;TOE1;TONSL;RNPC3;NLRP3;SOST;FAAP24;NLRP1;PIF1;BICC1;FANCE;SRA1;POT1;DNAJC17;TERF2IP;SMARCAL1;SUFU;DICER1;EXO1;FBXO7;RBM7;IKBKG
Oxidoreductase	NDUFS8;PHYH;NDUFA1;PHGDH;NDUFS4;NDUFB3;SCO2;NDUFS7;NDUFS2;NDUFS6;NDUFS3;IDH1;SCO1;GLUD1;DHFR;CYB5R3;PAH;SOD1;CP;CYBB;ALDH2;CYP17A1;CYP11A1;MPO;UROD;PDHA1;CYC1;DBH;QDPR;DLD;PDHB;CYP19A1;CYP2C9;BCKDHA;CYBA;ETFA;UQCRB;HPGD;ACADS;TYRP1;CYP11B2;NDUFV2;NCF2;MAOA;GPD1;BCKDHB;HSD11B1;TKT;ALDH4A1;ECHS1;PYCR1;SPR;CPOX;ETFB;MDH2;ACADSB;ALDH1A3;XDH;TDO2;ALDH7A1;NDUFV1;PPOX;ALDH3A2;HSD17B4;SUOX;AKR1D1;AKR1C2;ALDH18A1;GFER;DHODH;ASPH;NNT;HDAC1;AUH;NCF4;CYP1B1;NDUFA9;HADH;HIBCH;IYD;CYP2R1;RRM2B;GPD1L;SUMF1;GCDH;MMAB;MECR;HDAC8;FTO;EGLN1;WWOX;NDUFA13;GRHPR;DMGDH;ACAD8;MMACHC;NDUFB9;CCS;NDUFA2;UGDH;ALDH1A2;NDUFB8;AIFM1;NDUFB10;CYB5A;LDHA;GSR;CAT;TH;LDHB;HMOX1;CYP2D6;ACADM;G6PD;DAO;TPH1;NDUFS1;HPD;IDH2;FASN;ACADVL;IDH3A;ALDH5A1;NDUFA8;PKD1;TPH2;HGD;HSD17B10;PECR;PNPO;AASS
Phosphatase	INPPL1;EPM2A;FBP1;ACP5;ENPP1;PPP2R1A;HINT1;PSPH;OCRL;PTPN12;PPP3CA;DUSP6;PPP1R15B;ACP6;INPP5E;PTPRF;DUT;PTEN;MTMR2;PNKP;ITPA
Protease	TPP1;DHH;HTRA2;TLL1;MMP20;ZMPSTE24;STAMBP;F2;C1R;F9;F10;PLG;REN;TF;F11;PROC;CFI;CTSD;CAPN1;PRSS1;ELANE;MMP2;MME;F7;C1S;UCHL1;ACE;PEPD;ALAD;CAPN3;AGA;TNFAIP3;UQCRC2;CES1;CAD;CPS1;LONP1;ECE1;MMP13;PSEN1;USP11;CTSC;YARS;TAP1;PKD2;DPYS;IHH;SHH;CLPP;TAF2;ADAMTS13;HTRA1;OTULIN;PARK7;CTRC;ABCB6;CYLD;XPNPEP3;CTSF;MALT1;SPG7;ST14;HP;F12;CFB;KLKB1;BMP1;HGF;CPA1;PROZ;PSMB8;USP8;CTSK;ASRGL1;PCSK9;NCSTN;ADAM22;AFG3L2
Receptor	AP4M1;BMPR1B;TNFRSF11B;XPO1;NPC1;COCH;TYROBP;CUBN;LRP6;ESRRB;F8;EGFR;PTH;IGF2;IL2RA;CD4;CD8A;TF;ESR1;NR3C1;ITGB3;ITGB2;INSR;THBD;CSF1R;GP1BA;UMOD;RHO;CD55;NR3C2;ITGA2B;RPSA;ROS1;PDGFRB;AR;NR2F1;KIT;THRB;FGFR1;VDR;F5;CD59;GP9;IFNGR1;FOLR1;ITGB4;PDGFRA;CTLA4;TSHR;CD36;IL7R;CHRNB2;ITGB6;TNFRSF1A;CD247;ERBB3;FGFR4;FSHR;IL4R;EDNRB;FAS;CD27;GABRB3;EPHA2;CSF2RB;KDR;FLT3;BMPR1A;TGFBR1;IFNGR2;CASR;DCC;TNFRSF4;CHRNA4;NOTCH1;GCGR;PEX5;ANTXR2;SH3BP2;JAG1;GHRHR;TEK;PTH1R;NOTCH2;ACVR1;GRIN1;C1QBP;HYAL1;MERTK;GRIN2A;NR1H3;FADD;GRM1;SQSTM1;IL10RA;SCARB2;DAG1;GRM7;ERBB4;ADIPOQ;DDR2;KLHL40;HFE2;SPRED1;KLHL7;RYR2;EDA;IL17RA;NECTIN4;SIGMAR1;SMO;MYOC;P2RY12;GP6;IRAK4;TREM2;XPR1;KLHL3;CD207;FZD4;STAP1;NOTCH3;ALK;NR2E3;PGRMC1;TNFRSF13B;TLR3;RS1;TNFSF12;SH2D1A;TNFRSF6B;LDLR;GYPA;ERBB2;PGR;ADRB2;IGF1R;CHRM2;PTPRF;ITGA4;CD46;FLT1;EPOR;FGFR2;IL10;FGFR3;LAMA2;NR2F2;RXRB;AXL;ADORA1;ACVRL1;TGFBR2;PPARG;CD79B;GLP1R;EPHB4;TIRAP;CRB1;ROR2;MST1R;IL10RB;UNC119;ACVR2B;BMPR2;NECTIN1;NTRK3;SORL1;ADIPOR1;SLITRK1;SORT1;ANTXR1;XPO5;IL21R;ROBO2;PSENEN;WHRN;PROCR
Signaling Molecule	FGF10;DHH;TRIO;STAMBP;EFEMP2;F8;C3;C5;TGFB1;NGF;PDYN;FSHB;GH1;PTH;INS;IGF2;TNF;CD4;CD8A;FGA;FGB;FGG;APOH;FTL;EDN1;THBD;TGFB3;GHR;FGFR1;SFTPC;F5;CD59;CSF2RA;PDGFRA;EPCAM;PRLR;PLCG2;FLNA;KITLG;FGFR4;APC;CD40;CD40LG;FGF9;IL2RG;NTF4;FBN1;KDR;THPO;LEP;ETV6;GDF5;FASLG;PSEN1;ARHGDIA;SLURP1;FGF12;SH3BP2;JAG1;CRADD;NDP;ANK2;GHRHR;BAX;FADD;NOG;PKD2;TGFBI;ZNHIT3;MYLK;USH1G;HFE2;PHIP;EDA;IL17RA;IL17F;NODAL;CSF3R;SMO;C1QTNF5;FAM126A;FGF23;ISCU;MMADHC;IL21;DLL4;IRAK4;IL36RN;TAC3;GDF2;APPL1;FZD4;NFU1;PGRMC1;FCN1;TNFSF11;TAX1BP3;AXIN1;RS1;TNFSF12;PSTPIP1;SEMA7A;MPDZ;SLIT2;A2M;PDGFB;EPO;COL2A1;COL3A1;SHBG;IGF1;THBS1;INHBA;SPARC;IAPP;PTHLH;ENG;FGFR2;GRN;GDNF;LIFR;GLP1R;LEPR;TGFB2;HAMP;FLI1;SCRIB;KNL1;NLRP3;CCM2;PSENEN;PLCE1;NPC1L1;CD2AP
Transcription Factor	RFXANK;MEIS2;KDM6A;TBX1;ZIC3;PQBP1;ESRRB;ESR1;NR3C1;RB1;NR3C2;AR;NR2F1;THRB;VDR;SKI;PEPD;HOXB1;HNF1A;PAX3;YY1;GTF2E2;HOXA13;CTNNB1;FUS;HNF1B;STAT3;ETV6;KDM5C;STAT1;GATA4;ATRX;NOTCH1;SOX2;SOX9;CTCF;NKX2-5;BRPF1;DLX5;MAX;SMAD3;TFAM;MEF2A;RELA;NOTCH2;SRY;RBPJ;PAX8;C1QBP;EP300;NR1H3;EIF2B5;ERCC8;NR5A1;SMAD4;ZMYND11;SIX1;TAF13;SMAD2;KLHL40;KANK2;TAF2;GTF2H5;CNOT9;CREBBP;THAP11;NSD1;PARK7;TBX5;FOXC2;SETD2;TBL1XR1;FOXP3;ALX4;FOXP1;PRDM12;THAP1;HESX1;PUF60;NOTCH3;KMT2B;SATB2;ARL2BP;SBDS;DMRT1;NR2E3;CACNA1A;FOXN1;AIRE;DLX3;ERBB2;TP53;PGR;TCF3;CREB1;NR2F2;PAX6;TEAD1;RXRB;KDM5A;PPARG;ZEB1;VHL;CDX1;HDAC4;FLI1;PAX5;BTK;CTBP1;FHL2;IRF3;CHD4;BOLA3;MARVELD2;CISD2;KAT6A;HOXB13;NLRP3;SOST;TP63;SRA1;TERF2IP;SUFU;IKBKG
Transfer/Carrier Protein	LRP6;APOC2;APOC3;RBP4;TTR;ALB;TF;PRKCG;RLBP1;GM2A;GIF;AKT1;AKT2;TTPA;HBB;HBG2;CYCS;HIKESHI;AKT3;FABP7;TIMM44;MOCS2;LDLR;SHBG;APOA4;PRKCA;HBG1;HBA2;UBA3;MASTL;UBA5
Transferase	SULT2B1;BMPR1B;PIK3CD;KMT2D;CLIC2;MAP3K7;EED;RP2;CDKL5;B3GAT3;TRIM37;NDUFA10;PAPSS2;OTC;F13A1;PNP;HPRT1;EGFR;PGK1;AK1;APOA1;APOE;RAF1;LCAT;OAT;PRKCG;INSR;LCK;PYGL;CSF1R;RET;ROS1;PDGFRB;DLAT;KIT;UMPS;FGFR1;CDK4;ETFA;FDPS;BRAF;PHKG2;ACADS;PDGFRA;PRKACA;TAT;MAOA;ERBB3;BCKDHB;FGFR4;ACAT1;CAD;CHAT;MAPK1;EPHA2;TKT;ECHS1;PKLR;CPS1;AKT1;AKT2;ATIC;TTK;HMGCL;KDR;MAP2K2;FLT3;BMPR1A;TGFBR1;TALDO1;PIK3CA;MTOR;ZAP70;ACADSB;GYG1;AMT;CSNK1D;HNMT;PPOX;GATM;GALK1;RPS6KA3;SMS;NDST1;POLG;AK2;ALDH18A1;OXCT1;PRPS1;PRKDC;MAT1A;CDK6;TEK;MVK;ACVR1;EP300;MERTK;ATM;DYRK1A;AUH;CDK13;GAMT;GNMT;PDK3;ERBB4;MYLK;STK11;FXN;MAPKAPK3;DGUOK;GNPTAB;LRRK2;TTBK1;HIBCH;NAGS;POGLUT1;TRMT10A;CPT1C;PNPT1;GPT2;POMGNT1;CREBBP;GCDH;RNF125;WNK4;NSD1;PRIMPOL;TRNT1;MTR;VRK1;SETD2;DPAGT1;TPK1;PRDM12;EHMT1;SEPSECS;MTPAP;IRAK4;CDK12;EIF2AK3;DNMT3B;POLK;B4GALT7;TBK1;ACAD8;ALK;KMT2B;STUB1;PDZRN3;AKT3;POLH;PSAT1;DNMT3A;OGT;BCAT2;GYG2;DAPK3;BUB1B;ERBB2;CKM;APRT;GALT;IGF1R;PFKM;PARP1;DBT;PYGM;ACADM;CETP;PRKCA;FLT1;TYMP;AGXT;FGFR2;COMT;TGM2;FGFR3;TGM1;AXL;MAT2A;GRK5;ACVRL1;TGFBR2;VHL;FASN;ACADVL;KHK;TPMT;MECP2;HK2;EPHB4;HMGCS2;ROR2;MST1R;BTK;GALNT2;ILK;ACVR2B;BMPR2;PMVK;NTRK3;KMT5B;KAT6A;MASTL;FAM20A;PASK;PNKP;BARD1;POFUT1;NMNAT1;THG1L;CHKB
Transporter	SLC9A3R1;UQCRQ;CASQ2;NPC1;CLIC2;ACTN4;CUBN;HCN1;NUP155;TRPA1;ABCA1;HBD;APOA1;APOE;APOC2;APOC3;PMP2;SLC4A1;TTR;FTL;CYC1;SLC2A1;CFTR;FOLR1;KCNE1;CHRNB2;MPZ;GABRB3;AQP1;ATP7B;NUP62;CASR;AQP2;SLC1A3;CHRNA4;STAR;KCNQ1;AQP5;NUP107;NPC2;ATP7A;GRIN1;KCNH2;GRIN2A;PKD2;STXBP2;FXN;GLRX5;NUP93;MCFD2;RYR2;VPS33A;SCN2A;MCOLN1;ABCG8;ABCG5;MMADHC;CNNM2;TRPV4;SCN3B;HCN4;TNPO3;KCNE2;CCS;KCNQ3;KCNQ2;TIMM44;SCN2B;CLCN5;FXYD2;AQP4;HBG1;HBA2;KCNMA1;SCN5A;CNGA3;CNNM4;TRAPPC6B;SORL1;SLCO2A1;SORT1;RAB18;SLC25A13;HCN2;KCNE3
