HGNC ID	Gene name	UniProt Acc	Canonical Protein Isoform 	Ensembl Transcript	Protein Class	CCDS	Protein Name
HGNC:132	ACTB	P60709	P60709	ENST00000331789	Cytoskeletal protein	CCDS5341.1	"Actin, cytoplasmic 1"
HGNC:144	ACTG1	P63261	P63261	ENST00000575842	Cytoskeletal protein	CCDS11782.1	"Actin, cytoplasmic 2"
HGNC:163	ACTN1	P12814	P12814-1	ENST00000193403	Cytoskeletal protein	CCDS9792.1	Alpha-actinin-1
HGNC:164	ACTN2	P35609	P35609-1	ENST00000366578	Cytoskeletal protein	CCDS1613.1	Alpha-actinin-2
HGNC:166	ACTN4	O43707	O43707-1	ENST00000252699	"Cytoskeletal protein, Nucleic acid-binding protein, Calcium-binding protein, Transporter"	CCDS12518.1	Alpha-actinin-4
HGNC:171	ACVR1	Q04771	Q04771	ENST00000263640	"Receptor, Kinase, Transferase"	CCDS2206.1	Activin receptor type-1
HGNC:174	ACVR2B	Q13705	Q13705-1	ENST00000352511	"Receptor, Kinase, Transferase"	CCDS2679.1	Activin receptor type-2B
HGNC:175	ACVRL1	P37023	P37023	ENST00000388922	"Receptor, Kinase, Transferase"	CCDS31804.1	Serine/threonine-protein kinase receptor R3
HGNC:177	ACY1	Q03154	Q03154-1	ENST00000404366	Hydrolase	CCDS2844.1	Aminoacylase-1
HGNC:186	ADA	P00813	P00813	ENST00000372874	Hydrolase	CCDS13335.1	Adenosine deaminase
HGNC:201	ADAM22	Q9P0K1	Q9P0K1-1	ENST00000265727	"Protease, Hydrolase"	CCDS47637.1	Disintegrin and metalloproteinase domain-containing protein 22
HGNC:1366	ADAMTS13	Q76LX8	Q76LX8-1	ENST00000371929	"Protease, Enzyme modulator, Extracellular matrix protein, Hydrolase"	CCDS6970.1	A disintegrin and metalloproteinase with thrombospondin motifs 13
HGNC:225	ADAR	P55265	P55265-1	ENST00000368474	"Enzyme modulator, Nucleic acid-binding protein, Hydrolase, Defense/Immunity protein"	CCDS1071.1	Double-stranded RNA-specific adenosine deaminase
HGNC:21285	ADCY10	Q96PN6	Q96PN6-1	ENST00000367851	Lyase	CCDS1265.1	Adenylate cyclase type 10
HGNC:13633	ADIPOQ	Q15848	Q15848	ENST00000412955	Receptor	CCDS3284.1	Adiponectin
HGNC:24040	ADIPOR1	Q96A54	Q96A54	ENST00000340990	Receptor	CCDS1430.1	Adiponectin receptor protein 1
HGNC:262	ADORA1	P30542	P30542-1	ENST00000367236	Receptor	CCDS1434.1	Adenosine receptor A1
HGNC:286	ADRB2	P07550	P07550	ENST00000305988	Receptor	CCDS4292.1	Beta-2 adrenergic receptor
HGNC:291	ADSL	P30566	P30566-1	ENST00000216194	Lyase	CCDS14001.1	Adenylosuccinate lyase
HGNC:315	AFG3L2	Q9Y4W6	Q9Y4W6	ENST00000269143	"Protease, Hydrolase"	CCDS11859.1	AFG3-like protein 2
HGNC:318	AGA	P20933	P20933	ENST00000264595	"Protease, Hydrolase"	CCDS3829.1	N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase
HGNC:333	AGT	P01019	P01019	ENST00000366667	Enzyme modulator	CCDS1585.1	Angiotensinogen
HGNC:341	AGXT	P21549	P21549	ENST00000307503	Transferase	CCDS2543.1	Serine--pyruvate aminotransferase
HGNC:343	AHCY	P23526	P23526-1	ENST00000217426	Hydrolase	CCDS13233.1	Adenosylhomocysteinase
HGNC:18075	AHSP	Q9NZD4	Q9NZD4	ENST00000302312	Chaperone	CCDS10716.1	Alpha-hemoglobin-stabilizing protein
HGNC:13203	AICDA	Q9GZX7	Q9GZX7-1	ENST00000229335	"Nucleic acid-binding protein, Hydrolase"	CCDS41747.1	Single-stranded DNA cytosine deaminase
HGNC:8768	AIFM1	O95831	O95831-1	ENST00000287295	Oxidoreductase	CCDS14618.1	"Apoptosis-inducing factor 1, mitochondrial"
HGNC:10648	AIMP1	Q12904	Q12904-1	"ENST00000358008,ENST00000442366"	"Nucleic acid-binding protein, Ligase"	CCDS3674.1	Aminoacyl tRNA synthase complex-interacting multifunctional protein 1
HGNC:358	AIP	O00170	O00170	ENST00000279146	Chaperone	CCDS8168.1	AH receptor-interacting protein
HGNC:359	AIPL1	Q9NZN9	Q9NZN9-1	ENST00000381129	Chaperone	CCDS11075.1	Aryl-hydrocarbon-interacting protein-like 1
HGNC:360	AIRE	O43918	O43918-1	ENST00000291582	"Transcription factor, Nucleic acid-binding protein"	CCDS13706.1	Autoimmune regulator
HGNC:361	AK1	P00568	P00568	ENST00000373176	"Kinase, Transferase"	CCDS6881.1	Adenylate kinase isoenzyme 1
HGNC:362	AK2	P54819	P54819-1	ENST00000354858	"Kinase, Transferase"	CCDS374.1	"Adenylate kinase 2, mitochondrial"
HGNC:385	AKR1C2	P52895	P52895-1	ENST00000380753	Oxidoreductase	CCDS7062.1	Aldo-keto reductase family 1 member C2
HGNC:388	AKR1D1	P51857	P51857-1	ENST00000242375	Oxidoreductase	CCDS5846.1	3-oxo-5-beta-steroid 4-dehydrogenase
HGNC:391	AKT1	P31749	P31749-1	ENST00000554581	"Kinase, Calcium-binding protein, Transfer/Carrier protein, Transferase"	CCDS9994.1	RAC-alpha serine/threonine-protein kinase
HGNC:392	AKT2	P31751	P31751-1	ENST00000392038	"Kinase, Calcium-binding protein, Transfer/Carrier protein, Transferase"	CCDS12552.1	RAC-beta serine/threonine-protein kinase
HGNC:393	AKT3	Q9Y243	Q9Y243-1	ENST00000366539	"Kinase, Calcium-binding protein, Transfer/Carrier protein, Transferase"	CCDS31077.1	RAC-gamma serine/threonine-protein kinase
HGNC:395	ALAD	P13716	P13716-1	ENST00000409155	"Protease, Hydrolase, Lyase"	CCDS6794.2	Delta-aminolevulinic acid dehydratase
HGNC:399	ALB	P02768	P02768-1	ENST00000295897	Transfer/Carrier protein	CCDS3555.1	Serum albumin
HGNC:9722	ALDH18A1	P54886	P54886-1	ENST00000371224	"Kinase, Oxidoreductase, Transferase"	CCDS7443.1	Delta-1-pyrroline-5-carboxylate synthase
HGNC:15472	ALDH1A2	O94788	O94788-1	ENST00000249750	Oxidoreductase	CCDS10163.1	Retinal dehydrogenase 2
HGNC:409	ALDH1A3	P47895	P47895	ENST00000329841	Oxidoreductase	CCDS10389.1	Aldehyde dehydrogenase family 1 member A3
HGNC:404	ALDH2	P05091	P05091-1	ENST00000261733	Oxidoreductase	CCDS9155.1	"Aldehyde dehydrogenase, mitochondrial"
HGNC:403	ALDH3A2	P51648	P51648-1	"ENST00000176643,ENST00000395575,ENST00000579855"	Oxidoreductase	CCDS11210.1	Fatty aldehyde dehydrogenase
HGNC:406	ALDH4A1	P30038	P30038-1	ENST00000375341	Oxidoreductase	CCDS188.1	"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial"
HGNC:408	ALDH5A1	P51649	P51649-1	ENST00000357578	Oxidoreductase	CCDS4555.1	"Succinate-semialdehyde dehydrogenase, mitochondrial"
HGNC:877	ALDH7A1	P49419	P49419-1	ENST00000409134	Oxidoreductase	CCDS4137.2	Alpha-aminoadipic semialdehyde dehydrogenase
HGNC:414	ALDOA	P04075	P04075-1	"ENST00000412304,ENST00000563060,ENST00000564546,ENST00000569545"	Lyase	CCDS10668.1	Fructose-bisphosphate aldolase A
HGNC:417	ALDOB	P05062	P05062	ENST00000374855	Lyase	CCDS6756.1	Fructose-bisphosphate aldolase B
HGNC:427	ALK	Q9UM73	Q9UM73	ENST00000389048	"Receptor, Kinase, Transferase"	CCDS33172.1	ALK tyrosine kinase receptor
HGNC:450	ALX4	Q9H161	Q9H161	ENST00000329255	"Transcription factor, Nucleic acid-binding protein, Cell Junction protein"	CCDS31468.1	Homeobox protein aristaless-like 4
HGNC:473	AMT	P48728	P48728-1	ENST00000273588	Transferase	CCDS2797.1	"Aminomethyltransferase, mitochondrial"
HGNC:483	ANG	P03950	P03950	ENST00000336811	"Cytoskeletal protein, Nucleic acid-binding protein, Hydrolase, Cell Junction protein"	CCDS9554.1	Angiogenin
HGNC:492	ANK1	P16157	P16157-1	ENST00000347528	Enzyme modulator	CCDS6119.1	Ankyrin-1
HGNC:493	ANK2	Q01484	Q01484-4	ENST00000357077	"Cytoskeletal protein, Signaling molecule"	CCDS3702.1	Ankyrin-2
HGNC:21014	ANTXR1	Q9H6X2	Q9H6X2-1	ENST00000303714	Receptor	CCDS1892.1	Anthrax toxin receptor 1
HGNC:21732	ANTXR2	P58335	P58335-1	ENST00000307333	Receptor	CCDS47086.1	Anthrax toxin receptor 2
HGNC:18971	AP1S3	Q96PC3	Q96PC3-1	ENST00000446015	Membrane traffic protein	na	AP-1 complex subunit sigma-3
HGNC:574	AP4M1	O00189	O00189	ENST00000359593	"Receptor, Extracellular matrix protein"	CCDS5685.1	AP-4 complex subunit mu-1
HGNC:583	APC	P25054	P25054-1	ENST00000457016	Signaling molecule	CCDS4107.1	Adenomatous polyposis coli protein
HGNC:587	APEX1	P27695	P27695	ENST00000216714	"Nucleic acid-binding protein, Lyase, Hydrolase"	CCDS9550.1	DNA-(apurinic or apyrimidinic site) lyase
HGNC:600	APOA1	P02647	P02647	ENST00000236850	"Transporter, Transferase, Enzyme modulator"	CCDS8378.1	Apolipoprotein A-I
HGNC:602	APOA4	P06727	P06727	ENST00000357780	Transfer/Carrier protein	CCDS31681.1	Apolipoprotein A-IV
HGNC:609	APOC2	P02655	P02655	ENST00000590360	"Transporter, Transfer/Carrier protein"	CCDS12650.1	Apolipoprotein C-II
HGNC:610	APOC3	P02656	P02656	ENST00000227667	"Transporter, Transfer/Carrier protein"	CCDS8377.1	Apolipoprotein C-III
HGNC:613	APOE	P02649	P02649	ENST00000252486	"Transporter, Transferase, Enzyme modulator"	CCDS12647.1	Apolipoprotein E
HGNC:616	APOH	P02749	P02749	ENST00000205948	"Signaling molecule, Defense/Immunity protein"	CCDS11663.1	Beta-2-glycoprotein 1
HGNC:620	APP	P05067	P05067-1	ENST00000346798	Enzyme modulator	CCDS13576.1	Amyloid-beta A4 protein
HGNC:24035	APPL1	Q9UKG1	Q9UKG1	ENST00000288266	"Signaling molecule, Enzyme modulator"	CCDS2882.1	DCC-interacting protein 13-alpha
HGNC:626	APRT	P07741	P07741-1	ENST00000378364	Transferase	CCDS32511.1	Adenine phosphoribosyltransferase
HGNC:633	AQP1	P29972	P29972-1	ENST00000311813	Transporter	CCDS5431.1	Aquaporin-1
HGNC:634	AQP2	P41181	P41181	ENST00000199280	Transporter	CCDS8792.1	Aquaporin-2
HGNC:637	AQP4	P55087	P55087-1	ENST00000383168	Transporter	CCDS11889.1	Aquaporin-4
HGNC:638	AQP5	P55064	P55064	ENST00000293599	Transporter	CCDS8793.1	Aquaporin-5
HGNC:644	AR	P10275	P10275-1	ENST00000374690	"Receptor, Transcription factor, Nucleic acid-binding protein"	CCDS14387.1	Androgen receptor
HGNC:663	ARG1	P05089	P05089-1	ENST00000368087	Hydrolase	CCDS5145.1	Arginase-1
HGNC:678	ARHGDIA	P52565	P52565-1	ENST00000269321	"Signaling molecule, Enzyme modulator"	CCDS11788.1	Rho GDP-dissociation inhibitor 1
HGNC:14561	ARHGEF9	O43307	O43307-1	ENST00000253401	Enzyme modulator	CCDS35315.1	Rho guanine nucleotide exchange factor 9
HGNC:17146	ARL2BP	Q9Y2Y0	Q9Y2Y0-1	ENST00000219204	Transcription factor	CCDS10776.1	ADP-ribosylation factor-like protein 2-binding protein
HGNC:13210	ARL6	Q9H0F7	Q9H0F7-1	ENST00000463745	"Enzyme modulator, Cytoskeletal protein"	CCDS2928.1	ADP-ribosylation factor-like protein 6
HGNC:714	ARSB	P15848	P15848-1	ENST00000264914	"Enzyme modulator, Hydrolase, Calcium-binding protein"	CCDS4043.1	Arylsulfatase B
HGNC:746	ASL	P04424	P04424-1	ENST00000304874	Lyase	CCDS5531.1	Argininosuccinate lyase
HGNC:756	ASPA	P45381	P45381	ENST00000263080	Hydrolase	CCDS11028.1	Aspartoacylase
HGNC:757	ASPH	Q12797	Q12797-1	ENST00000379454	Oxidoreductase	CCDS34898.1	Aspartyl/asparaginyl beta-hydroxylase
HGNC:16448	ASRGL1	Q7L266	Q7L266-1	ENST00000415229	"Protease, Hydrolase"	CCDS8019.1	Isoaspartyl peptidase/L-asparaginase
HGNC:758	ASS1	P00966	P00966	ENST00000372394	Ligase	CCDS6933.1	Argininosuccinate synthase
HGNC:589	ATG5	Q9H1Y0	Q9H1Y0-1	ENST00000369076	Membrane traffic protein	CCDS5055.1	Autophagy protein 5
HGNC:794	ATIC	P31939	P31939-1	ENST00000236959	"Transferase, Hydrolase"	CCDS2398.1	Bifunctional purine biosynthesis protein PURH
HGNC:11231	ATL1	Q8WXF7	Q8WXF7-1	ENST00000358385	Enzyme modulator	CCDS9700.1	Atlastin-1
HGNC:24526	ATL3	Q6DD88	Q6DD88	ENST00000398868	Enzyme modulator	CCDS41663.1	Atlastin-3
HGNC:795	ATM	Q13315	Q13315	"ENST00000278616,ENST00000452508"	"Kinase, Nucleic acid-binding protein, Transferase"	CCDS31669.1	Serine-protein kinase ATM
HGNC:869	ATP7A	Q04656	Q04656-1	ENST00000341514	"Transporter, Hydrolase"	CCDS35339.1	Copper-transporting ATPase 1
HGNC:870	ATP7B	P35670	P35670-1	ENST00000242839	"Transporter, Hydrolase"	CCDS41892.1	Copper-transporting ATPase 2
HGNC:886	ATRX	P46100	P46100-1	ENST00000373344	"Transcription factor, Nucleic acid-binding protein"	CCDS14434.1	Transcriptional regulator ATRX
HGNC:890	AUH	Q13825	Q13825-1	ENST00000375731	"Oxidoreductase, Transferase, Lyase, Isomerase, Ligase"	CCDS6689.1	"Methylglutaconyl-CoA hydratase, mitochondrial"
HGNC:903	AXIN1	O15169	O15169-1	ENST00000262320	"Signaling molecule, Enzyme modulator"	CCDS10405.1	Axin-1
HGNC:905	AXL	P30530	P30530-1	ENST00000301178	"Receptor, Kinase, Transferase"	CCDS12575.1	Tyrosine-protein kinase receptor UFO
HGNC:914	B2M	P61769	P61769	ENST00000558401	Defense/Immunity protein	CCDS10113.1	Beta-2-microglobulin
HGNC:923	B3GAT3	O94766	O94766-1	ENST00000265471	Transferase	CCDS8025.1	Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 3
HGNC:930	B4GALT7	Q9UBV7	Q9UBV7	ENST00000029410	Transferase	CCDS4429.1	"Beta-1,4-galactosyltransferase 7"
HGNC:17397	BANF1	O75531	O75531	ENST00000312175	Nucleic acid-binding protein	CCDS8125.1	Barrier-to-autointegration factor
HGNC:952	BARD1	Q99728	Q99728-1	ENST00000260947	Transferase	CCDS2397.1	BRCA1-associated RING domain protein 1
HGNC:959	BAX	Q07812	Q07812-1	ENST00000345358	Signaling molecule	CCDS12742.1	Apoptosis regulator BAX
HGNC:30000	BBS9	Q3SYG4	Q3SYG4-1	ENST00000242067	Membrane traffic protein	CCDS43566.1	Protein PTHB1
HGNC:977	BCAT2	O15382	O15382-1	ENST00000316273	Transferase	CCDS12735.1	"Branched-chain-amino-acid aminotransferase, mitochondrial"
HGNC:983	BCHE	P06276	P06276	ENST00000264381	Hydrolase	CCDS3198.1	Cholinesterase
HGNC:986	BCKDHA	P12694	P12694-1	ENST00000269980	Oxidoreductase	CCDS12581.1	"2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial"
HGNC:987	BCKDHB	P21953	P21953-1	ENST00000320393	"Oxidoreductase, Transferase, Lyase"	CCDS4994.1	"2-oxoisovalerate dehydrogenase subunit beta, mitochondrial"
HGNC:989	BCL10	O95999	O95999	ENST00000370580	"Defense/Immunity protein, Enzyme modulator"	CCDS704.1	B-cell lymphoma/leukemia 10
HGNC:19351	BICC1	Q9H694	Q9H694-1	ENST00000373886	"Nucleic acid-binding protein, Cell Junction protein"	CCDS31206.1	Protein bicaudal C homolog 1
HGNC:1052	BIN1	O00499	O00499-1	ENST00000316724	Cytoskeletal protein	CCDS2138.1	Myc box-dependent-interacting protein 1
HGNC:1058	BLM	P54132	P54132	ENST00000355112	"Nucleic acid-binding protein, Hydrolase"	CCDS10363.1	Bloom syndrome protein
HGNC:1067	BMP1	P13497	P13497-1	ENST00000306385	"Protease, Hydrolase"	CCDS6026.1	Bone morphogenetic protein 1
HGNC:1076	BMPR1A	P36894	P36894	ENST00000372037	"Receptor, Kinase, Transferase"	CCDS7378.1	Bone morphogenetic protein receptor type-1A
HGNC:1077	BMPR1B	O00238	O00238-1	"ENST00000264568,ENST00000394931,ENST00000509540,ENST00000512312,ENST00000515059"	"Receptor, Kinase, Transferase"	CCDS3642.1	Bone morphogenetic protein receptor type-1B
HGNC:1078	BMPR2	Q13873	Q13873-1	ENST00000374580	"Receptor, Kinase, Transferase"	CCDS33361.1	Bone morphogenetic protein receptor type-2
HGNC:24415	BOLA3	Q53S33	Q53S33-1	ENST00000327428	"Transcription factor, Nucleic acid-binding protein"	CCDS33225.1	BolA-like protein 3
HGNC:1093	BPGM	P07738	P07738	ENST00000393132	"Hydrolase, Isomerase"	CCDS5833.1	Bisphosphoglycerate mutase
HGNC:1097	BRAF	P15056	P15056	ENST00000288602	"Kinase, Transferase"	CCDS5863.1	Serine/threonine-protein kinase B-raf
HGNC:21701	BRAT1	Q6PJG6	Q6PJG6-1	ENST00000340611	"Enzyme modulator, Nucleic acid-binding protein"	CCDS5334.1	BRCA1-associated ATM activator 1
HGNC:1100	BRCA1	P38398	P38398-1	ENST00000357654	"Ligase, Nucleic acid-binding protein"	CCDS11453.1	Breast cancer type 1 susceptibility protein
HGNC:1101	BRCA2	P51587	P51587	"ENST00000380152,ENST00000544455"	Nucleic acid-binding protein	CCDS9344.1	Breast cancer type 2 susceptibility protein
HGNC:14255	BRPF1	P55201	P55201-1	ENST00000457855	"Transcription factor, Nucleic acid-binding protein"	CCDS2575.1	Peregrin
HGNC:1133	BTK	Q06187	Q06187-1	ENST00000308731	"Transcription factor, Nucleic acid-binding protein, Transferase, Kinase"	CCDS14482.1	Tyrosine-protein kinase BTK
HGNC:1149	BUB1B	O60566	O60566-1	ENST00000287598	"Kinase, Transferase"	CCDS10053.1	Mitotic checkpoint serine/threonine-protein kinase BUB1 beta
HGNC:1242	C1QB	P02746	P02746	ENST00000314933	Defense/Immunity protein	CCDS228.1	Complement C1q subcomponent subunit B
HGNC:1243	C1QBP	Q07021	Q07021	ENST00000225698	"Receptor, Defense/Immunity protein, Transcription factor"	CCDS11071.1	"Complement component 1 Q subcomponent-binding protein, mitochondrial"
HGNC:1245	C1QC	P02747	P02747	ENST00000374639	Defense/Immunity protein	CCDS227.1	Complement C1q subcomponent subunit C
HGNC:14344	C1QTNF5	Q9BXJ0	Q9BXJ0	ENST00000445041	Signaling molecule	CCDS8420.1	Complement C1q tumor necrosis factor-related protein 5
HGNC:1246	C1R	P00736	P00736	ENST00000542285	"Protease, Hydrolase"	CCDS81658.1	Complement C1r subcomponent
HGNC:1247	C1S	P09871	P09871	ENST00000406697	"Protease, Hydrolase"	CCDS31735.1	Complement C1s subcomponent
HGNC:1248	C2	P06681	P06681-1	ENST00000299367	Defense/Immunity protein	CCDS4728.1	Complement C2
HGNC:1318	C3	P01024	P01024	ENST00000245907	"Signaling molecule, Enzyme modulator, Defense/Immunity protein"	CCDS32883.1	Complement C3
HGNC:1331	C5	P01031	P01031	ENST00000223642	"Signaling molecule, Enzyme modulator, Defense/Immunity protein"	CCDS6826.1	Complement C5
HGNC:1339	C6	P13671	P13671	ENST00000263413	Defense/Immunity protein	CCDS3936.1	Complement component C6
HGNC:1352	C8A	P07357	P07357	ENST00000361249	Defense/Immunity protein	CCDS606.1	Complement component C8 alpha chain
HGNC:1368	CA1	P00915	P00915	ENST00000523953	Lyase	CCDS6237.1	Carbonic anhydrase 1
HGNC:1371	CA12	O43570	O43570-1	ENST00000178638	Lyase	CCDS10185.1	Carbonic anhydrase 12
HGNC:1373	CA2	P00918	P00918	ENST00000285379	Lyase	CCDS6239.1	Carbonic anhydrase 2
HGNC:1375	CA4	P22748	P22748-1	ENST00000300900	Lyase	CCDS11624.1	Carbonic anhydrase 4
HGNC:1382	CA8	P35219	P35219	ENST00000317995	Lyase	CCDS6174.1	Carbonic anhydrase-related protein
HGNC:1388	CACNA1A	O00555	O00555-8	ENST00000360228	Transcription factor	CCDS45998.1	Voltage-dependent P/Q-type calcium channel subunit alpha-1A
HGNC:1424	CAD	P27708	P27708	ENST00000264705	"Protease, Transferase, Hydrolase, Ligase"	CCDS1742.1	CAD protein
HGNC:1442	CALM1	P0DP23	P0DP23	ENST00000356978	Calcium-binding protein	CCDS9892.1	Calmodulin-1
HGNC:19721	CANT1	Q8WVQ1	Q8WVQ1-1	ENST00000302345	Hydrolase	CCDS11760.1	Soluble calcium-activated nucleotidase 1
HGNC:1476	CAPN1	P07384	P07384	ENST00000527323	"Protease, Calcium-binding protein, Hydrolase"	CCDS44644.1	Calpain-1 catalytic subunit
HGNC:1480	CAPN3	P20807	P20807-1	ENST00000397163	"Protease, Calcium-binding protein, Hydrolase"	CCDS45245.1	Calpain-3
HGNC:16393	CARD11	Q9BXL7	Q9BXL7	ENST00000396946	Defense/Immunity protein	CCDS5336.2	Caspase recruitment domain-containing protein 11
HGNC:1512	CASQ1	P31415	P31415	ENST00000368078	Calcium-binding protein	CCDS1198.2	Calsequestrin-1
HGNC:1513	CASQ2	O14958	O14958-1	ENST00000261448	Transporter	CCDS884.1	Calsequestrin-2
HGNC:1514	CASR	P41180	P41180-1	ENST00000498619/NM_000388.3	"Receptor, Transporter"	CCDS3010.1	Extracellular calcium-sensing receptor
HGNC:1516	CAT	P04040	P04040	ENST00000241052	Oxidoreductase	CCDS7891.1	Catalase
HGNC:1541	CBL	P22681	P22681	ENST00000264033	Ligase	CCDS8418.1	E3 ubiquitin-protein ligase CBL
HGNC:1542	CBLB	Q13191	Q13191-1	ENST00000264122	Ligase	CCDS2948.1	E3 ubiquitin-protein ligase CBL-B
HGNC:1550	CBS	P35520	P35520-1	ENST00000398165	"Hydrolase, Lyase, Isomerase"	CCDS13693.1	Cystathionine beta-synthase
HGNC:21708	CCM2	Q9BSQ5	Q9BSQ5-1	ENST00000258781	Signaling molecule	CCDS5500.1	Cerebral cavernous malformations 2 protein
HGNC:1613	CCS	O14618	O14618	ENST00000533244	"Transporter, Oxidoreductase"	CCDS8146.1	Copper chaperone for superoxide dismutase
HGNC:1618	CCT5	P48643	P48643-1	ENST00000280326	Chaperone	CCDS3877.1	T-complex protein 1 subunit epsilon
HGNC:17935	CD207	Q9UJ71	Q9UJ71	ENST00000410009	"Receptor, Cell Adhesion molecule, Defense/Immunity protein"	CCDS74520.1	C-type lectin domain family 4 member K
HGNC:1677	CD247	P20963	P20963-1	ENST00000362089	"Receptor, Defense/Immunity protein"	CCDS1261.1	T-cell surface glycoprotein CD3 zeta chain
HGNC:11922	CD27	P26842	P26842	ENST00000266557	Receptor	CCDS8545.1	CD27 antigen
HGNC:14258	CD2AP	Q9Y5K6	Q9Y5K6	ENST00000359314	Signaling molecule	CCDS34472.1	CD2-associated protein
HGNC:1663	CD36	P16671	P16671-1	ENST00000435819	Receptor	CCDS34673.1	Platelet glycoprotein 4
HGNC:1678	CD4	P01730	P01730	ENST00000011653	"Receptor, Signaling molecule, Defense/Immunity protein"	CCDS8562.1	T-cell surface glycoprotein CD4
HGNC:11919	CD40	P25942	P25942-1	ENST00000372285	Signaling molecule	CCDS13393.1	Tumor necrosis factor receptor superfamily member 5
HGNC:11935	CD40LG	P29965	P29965	ENST00000370629	Signaling molecule	CCDS14659.1	CD40 ligand
HGNC:6953	CD46	P15529	P15529-1	ENST00000358170	"Receptor, Defense/Immunity protein"	CCDS1485.1	Membrane cofactor protein
HGNC:2665	CD55	P08174	P08174-1	ENST00000367064	Receptor	CCDS31006.1	Complement decay-accelerating factor
HGNC:1689	CD59	P13987	P13987	ENST00000395850	"Receptor, Signaling molecule, Defense/Immunity protein"	CCDS7886.1	CD59 glycoprotein
HGNC:1699	CD79B	P40259	P40259-1	ENST00000006750	"Receptor, Defense/Immunity protein"	CCDS11655.1	B-cell antigen receptor complex-associated protein beta chain
HGNC:1706	CD8A	P01732	P01732-1	ENST00000409511	"Receptor, Signaling molecule, Defense/Immunity protein"	CCDS1992.1	T-cell surface glycoprotein CD8 alpha chain
HGNC:1736	CDC42	P60953	P60953	ENST00000344548	Enzyme modulator	CCDS221.1	Cell division control protein 42 homolog
HGNC:1739	CDC45	O75419	O75419-1	"ENST00000263201,ENST00000407835"	Nucleic acid-binding protein	CCDS13762.1	Cell division control protein 45 homolog
HGNC:1748	CDH1	P12830	P12830-1	ENST00000261769	Cell Adhesion molecule	CCDS10869.1	Cadherin-1
HGNC:13733	CDH23	Q9H251	Q9H251-1	ENST00000224721	Cell Adhesion molecule	CCDS86100.1	Cadherin-23
HGNC:1762	CDH3	P22223	P22223-1	ENST00000264012	Cell Adhesion molecule	CCDS10868.1	Cadherin-3
HGNC:24224	CDK12	Q9NYV4	Q9NYV4-1	ENST00000447079	"Kinase, Transferase"	CCDS11337.1	Cyclin-dependent kinase 12
